data,evento,time_a,time_b,vencedor,resultado,mapa_1,rounds_time_a_mapa_1,rounds_time_b_mapa_1,mapa_2,rounds_time_a_mapa_2,rounds_time_b_mapa_2,mapa_3,rounds_time_a_mapa_3,rounds_time_b_mapa_3,mapa_4,rounds_time_a_mapa_4,rounds_time_b_mapa_4,mapa_5,rounds_time_a_mapa_5,rounds_time_b_mapa_5
2025-02-08,VCT 25: EMEA Kickoff,TH,TL,TL,0-3,Lotus,4,13,Abyss,4,13,Fracture,7,13,,,,,,
2025-02-07,VCT 25: EMEA Kickoff,TH,VIT,VIT,0-2,Haven,10,13,Abyss,1,13,,,,,,,,,
2025-01-29,VCT 25: EMEA Kickoff,TH,BBL,TH,2-0,Pearl,13,11,Lotus,13,7,,,,,,,,,
2025-01-22,VCT 25: EMEA Kickoff,TH,M8,TH,2-1,Abyss,4,13,Fracture,13,3,Pearl,13,8,,,,,,
2025-05-16,HERO ESPORTS ACL 25,XLG,DRX,DRX,1-2,Icebox,6,13,Haven,13,5,Ascent,7,13,,,,,,
2025-05-15,HERO ESPORTS ACL 25,XLG,PRX,PRX,0-2,Icebox,13,15,Lotus,8,13,,,,,,,,,
2025-05-08,CN EVO 25: Act 2 X ACL,XLG,NOVA,NOVA,1-2,Sunset,2,13,Lotus,13,10,Haven,5,13,,,,,,
2025-05-04,VCT 25: CN Stage 1,XLG,BLG,XLG,3-1,Fracture,15,13,Lotus,13,10,Pearl,8,13,Haven,14,12,,,
2025-05-02,VCT 25: CN Stage 1,XLG,WOL,XLG,2-0,Pearl,13,7,Lotus,14,12,,,,,,,,,
2025-04-19,VCT 25: CN Stage 1,XLG,EDG,XLG,2-0,Lotus,13,9,Haven,13,11,,,,,,,,,
2025-04-17,VCT 25: CN Stage 1,XLG,NOVA,XLG,2-0,Lotus,13,6,Ascent,13,2,,,,,,,,,
2025-04-10,VCT 25: CN Stage 1,XLG,JDG,XLG,2-1,Lotus,13,6,Fracture,13,6,Icebox,11,13,,,,,,
2025-04-06,VCT 25: CN Stage 1,XLG,TE,XLG,2-1,Split,13,7,Lotus,10,13,Pearl,13,11,,,,,,
2025-03-28,VCT 25: CN Stage 1,XLG,WOL,XLG,2-0,Fracture,14,12,Icebox,13,10,,,,,,,,,
2025-03-22,VCT 25: CN Stage 1,XLG,AG,XLG,2-0,Fracture,13,10,Lotus,13,7,,,,,,,,,
2025-03-13,VCT 25: CN Stage 1,XLG,BLG,BLG,1-2,Pearl,13,8,Icebox,9,13,Fracture,8,13,,,,,,
2025-02-11,CN EVO 25: Act 1,XLG,JDG,JDG,0-2,Abyss,14,16,Lotus,5,13,,,,,,,,,
2025-01-22,VCT 25: CN Kickoff,XLG,EDG,EDG,1-2,Lotus,14,12,Bind,10,13,Haven,0,13,,,,,,
2025-01-21,VCT 25: CN Kickoff,XLG,JDG,XLG,2-1,Pearl,9,13,Bind,13,4,Haven,13,6,,,,,,
2025-01-18,VCT 25: CN Kickoff,XLG,AG,XLG,2-1,Abyss,8,13,Bind,13,1,Lotus,13,4,,,,,,
2025-01-16,VCT 25: CN Kickoff,XLG,BLG,BLG,1-2,Haven,13,11,Lotus,11,13,Abyss,11,13,,,,,,
2025-01-11,VCT 25: CN Kickoff,XLG,WOL,WOL,2-0,Lotus,13,11,Split,13,9,,,,,,,,,
